,dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise
21225,170524_1030_101/,G0017591.jpg,372,1340,490,1476,4.2965006828308105,-20.899229049682614,-6.881396770477295,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY
21226,170524_1030_101/,G0017591.jpg,2388,1070,2461,1154,8.992972373962402,-2.586268424987793,-2.2363829612731934,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21227,170524_1030_101/,G0017591.jpg,3504,895,3565,967,1.6062160730361938,2.3027989864349365,1.2287665605545044,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21228,170524_1030_101/,G0017591.jpg,1939,1081,2007,1159,44.38161849975586,55.26120376586914,-8.850028038024902,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21229,170524_1030_101/,G0017592.jpg,1723,885,1786,958,6.240951061248777,-2.169275283813477,-1.8592822551727293,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21230,170524_1030_101/,G0017592.jpg,2873,1201,2955,1297,19.088890075683594,-1.2150131464004517,-11.25594425201416,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21231,170524_1030_101/,G0017592.jpg,2754,1586,2885,1738,31.545307159423828,12.882237434387207,-23.712875366210927,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21232,170524_1030_101/,G0017592.jpg,2215,963,2285,1045,23.09993934631348,-2.9093005657196045,-11.85900592803955,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21233,170524_1030_101/,G0017592.jpg,2388,1070,2460,1154,9.44886302947998,-2.9500386714935303,-2.0905256271362305,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21234,170524_1030_101/,G0017592.jpg,3505,905,3565,976,6.9881181716918945,5.992544651031494,2.276068210601806,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21235,170524_1030_101/,G0017592.jpg,391,1339,503,1469,27.39910697937012,-1.7325177192687988,-9.798892974853516,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21236,170524_1030_101/,G0017592.jpg,1938,1083,2006,1162,50.80945205688477,51.523170471191406,-15.064241409301758,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21237,170524_1030_101/,G0017592.jpg,2056,954,2121,1030,6.936106204986572,-3.4889795780181885,-3.200549602508545,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21238,170524_1030_101/,G0017593.jpg,2216,962,2288,1045,18.70608901977539,-5.0635809898376465,-11.24689483642578,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21239,170524_1030_101/,G0017593.jpg,2874,1201,2957,1297,26.98846435546875,0.2647267282009125,-12.86012077331543,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21240,170524_1030_101/,G0017593.jpg,2064,950,2133,1030,18.23876953125,-0.5343018174171448,1.97445285320282,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY
21241,170524_1030_101/,G0017593.jpg,1724,886,1786,958,5.175847053527832,-1.376727819442749,1.4649344682693481,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21242,170524_1030_101/,G0017593.jpg,2385,1069,2458,1154,13.857686042785645,-3.594370126724243,-3.0809693336486816,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21243,170524_1030_101/,G0017593.jpg,393,1339,505,1471,25.532154083251953,-2.293096780776977,-10.161794662475586,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21244,170524_1030_101/,G0017593.jpg,2764,1608,2880,1744,22.80475807189941,19.863508224487305,-24.38235282897949,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21245,170524_1030_101/,G0017593.jpg,1929,1077,1994,1152,52.985267639160156,43.797813415527344,-17.784805297851562,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21246,170524_1030_101/,G0017594.jpg,2876,1196,2959,1293,25.15897560119629,3.070420265197754,-8.16389274597168,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21247,170524_1030_101/,G0017594.jpg,1724,885,1788,960,1.0415211915969849,-3.438958644866944,2.2988173961639404,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21248,170524_1030_101/,G0017594.jpg,2216,957,2287,1039,13.810073852539062,-12.63180160522461,-4.770521640777588,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21249,170524_1030_101/,G0017594.jpg,2386,1069,2459,1154,11.498255729675293,-2.9075093269348145,-2.0644781589508057,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21250,170524_1030_101/,G0017594.jpg,398,1342,508,1470,28.37591361999512,0.2963904440402985,-8.636530876159668,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21251,170524_1030_101/,G0017594.jpg,1933,1070,2000,1147,22.62930679321289,33.61181640625,-23.265714645385746,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21252,170524_1030_101/,G0017594.jpg,2060,952,2124,1027,12.445633888244627,-9.57601261138916,4.077885627746582,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE
21253,170524_1030_101/,G0017594.jpg,2756,1596,2879,1739,30.05921173095703,23.43594169616699,-30.791677474975586,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21254,170524_1030_101/,G0017594.jpg,3502,906,3562,977,0.9597123265266418,4.614026069641113,-3.783946037292482,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21255,170524_1030_101/,G0017594.jpg,3667,988,3758,1094,1.6213438510894775,4.206362247467041,4.528370380401611,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21256,170524_1030_101/,G0017595.jpg,2201,937,2271,1017,8.120545387268066,-19.126766204833984,0.4382671117782593,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY
21257,170524_1030_101/,G0017595.jpg,1723,885,1787,959,3.249762535095215,-1.7382277250289917,1.1583786010742188,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21258,170524_1030_101/,G0017595.jpg,843,1108,941,1221,3.983089685440064,-8.696274757385254,-16.664636611938473,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21259,170524_1030_101/,G0017595.jpg,2871,1197,2951,1290,26.67128753662109,5.31246280670166,-9.843402862548828,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21260,170524_1030_101/,G0017595.jpg,393,1336,507,1468,25.51809120178223,-0.045521747320890434,-13.90805721282959,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21261,170524_1030_101/,G0017595.jpg,2385,1068,2458,1153,14.649438858032227,-1.7631006240844729,-4.529794216156006,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21262,170524_1030_101/,G0017595.jpg,3670,990,3758,1093,-2.630638837814331,4.271669387817384,4.685532569885254,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21263,170524_1030_101/,G0017595.jpg,2757,1605,2874,1741,27.932382583618164,18.805072784423828,-27.56686973571777,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21264,170524_1030_101/,G0017595.jpg,2044,953,2108,1028,7.754056930541992,-10.0131254196167,5.773527145385742,Likelihood.VERY_LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE
21265,170524_1030_101/,G0017596.jpg,2203,935,2271,1014,4.012650489807129,-12.89728832244873,11.376036643981935,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY
21266,170524_1030_101/,G0017596.jpg,1724,887,1786,958,3.7048306465148926,-2.959834575653076,1.5615698099136353,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21267,170524_1030_101/,G0017596.jpg,1327,1004,1414,1106,23.251527786254893,-17.809314727783203,7.016448020935059,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21268,170524_1030_101/,G0017596.jpg,2873,1193,2954,1288,22.78668594360352,5.288610458374023,-13.657236099243164,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21269,170524_1030_101/,G0017596.jpg,2386,1069,2458,1153,13.12008285522461,-2.8316833972930917,-3.3861050605773926,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21270,170524_1030_101/,G0017596.jpg,2039,962,2105,1039,-1.639381766319275,-19.086923599243164,-0.10028180480003357,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY
21271,170524_1030_101/,G0017596.jpg,389,1337,503,1470,31.46664047241211,1.671562671661377,-11.338321685791016,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21272,170524_1030_101/,G0017596.jpg,2753,1594,2879,1740,27.974689483642567,21.91950798034668,-37.93769836425781,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21273,170524_1030_101/,G0017597.jpg,2224,940,2293,1020,12.253820419311525,3.870999813079834,3.1005301475524902,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21274,170524_1030_101/,G0017597.jpg,1326,1005,1413,1106,23.95211601257324,-17.819339752197266,8.212563514709473,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21275,170524_1030_101/,G0017597.jpg,2034,966,2095,1038,-5.606844425201416,-16.522336959838867,-2.5798184871673584,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21276,170524_1030_101/,G0017597.jpg,2872,1196,2955,1292,22.52029228210449,6.829741477966309,-8.645034790039062,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21277,170524_1030_101/,G0017597.jpg,1725,885,1787,957,0.80702143907547,-2.8234965801239014,-1.7464141845703125,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21278,170524_1030_101/,G0017597.jpg,387,1337,505,1474,31.375476837158203,0.0772547721862793,-8.866832733154297,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21279,170524_1030_101/,G0017597.jpg,2763,1617,2875,1747,14.591330528259276,8.893017768859863,-12.48460865020752,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21280,170524_1030_101/,G0017597.jpg,2387,1069,2460,1154,11.076976776123047,-3.1486523151397705,-2.4805831909179688,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21281,170524_1030_101/,G0017597.jpg,3671,990,3758,1091,-4.409144401550293,2.4276986122131348,2.0014889240264893,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21282,170524_1030_101/,G0017598.jpg,2215,939,2283,1018,13.23643970489502,-8.202686309814451,-0.06959748268127441,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21283,170524_1030_101/,G0017598.jpg,2873,1197,2954,1291,25.61368560791016,4.640041828155519,-7.145891189575195,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21284,170524_1030_101/,G0017598.jpg,1323,1002,1411,1104,22.623254776000977,-18.46700859069824,7.1476807594299325,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21285,170524_1030_101/,G0017598.jpg,2050,966,2112,1038,5.174516201019287,2.735768795013428,4.644715785980225,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21286,170524_1030_101/,G0017598.jpg,1725,885,1787,957,1.7314701080322266,-2.5116055011749268,-1.688080072402954,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21287,170524_1030_101/,G0017598.jpg,2385,1069,2458,1154,15.288302421569824,-2.2115509510040283,-3.4188973903656006,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21288,170524_1030_101/,G0017598.jpg,395,1341,507,1471,29.854841232299805,0.9976797699928284,-8.167708396911621,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21289,170524_1030_101/,G0017598.jpg,3670,991,3755,1089,-2.620919704437256,2.4987924098968506,1.1192649602890017,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21290,170524_1030_101/,G0017598.jpg,2762,1615,2872,1743,17.696218490600586,9.196985244750977,-14.37095832824707,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21291,170524_1030_101/,G0017598.jpg,2722,1447,2836,1579,43.55085754394531,44.21725845336914,-16.587278366088867,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21292,170524_1030_101/,G0017599.jpg,2212,941,2280,1021,9.642857551574707,-12.20378875732422,0.9798799753189088,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21293,170524_1030_101/,G0017599.jpg,2749,1580,2882,1735,24.91403770446777,6.27258825302124,-19.84262084960937,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21294,170524_1030_101/,G0017599.jpg,577,1012,668,1118,20.80433654785156,-16.993049621582028,0.2794776856899261,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21295,170524_1030_101/,G0017599.jpg,2875,1198,2957,1293,23.20348930358887,4.890862941741943,-5.285946369171144,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21296,170524_1030_101/,G0017599.jpg,1325,1003,1412,1105,24.17532157897949,-18.523799896240234,7.104013442993164,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21297,170524_1030_101/,G0017599.jpg,1726,884,1791,959,-4.048849105834962,-4.161990642547607,-1.742017149925232,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21298,170524_1030_101/,G0017599.jpg,2384,1069,2456,1152,20.020523071289066,-1.3688113689422607,-5.102982521057129,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21299,170524_1030_101/,G0017599.jpg,393,1337,506,1469,27.73409652709961,-1.6153185367584229,-9.26085090637207,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21300,170524_1030_101/,G0017599.jpg,2032,965,2112,1058,1.448949694633484,0.18966838717460632,17.814002990722656,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21301,170524_1030_101/,G0017599.jpg,1004,1403,1123,1542,97.02247619628906,1.0559849739074707,-13.526230812072756,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21302,170524_1030_101/,G0017600.jpg,2224,949,2293,1030,11.512243270874025,-6.996096611022949,0.020989967510104183,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21303,170524_1030_101/,G0017600.jpg,2749,1580,2875,1727,21.44534683227539,0.8718262314796448,-14.004384994506836,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21304,170524_1030_101/,G0017600.jpg,2876,1198,2959,1293,24.72624969482422,5.557091236114502,-5.6956787109375,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21305,170524_1030_101/,G0017600.jpg,1325,1004,1411,1104,23.499675750732425,-18.400856018066406,7.472794532775879,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21306,170524_1030_101/,G0017600.jpg,394,1339,504,1468,27.07839012145996,-0.3556886315345764,-10.162622451782227,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21307,170524_1030_101/,G0017600.jpg,1725,887,1785,957,3.4718880653381348,-2.8759446144104004,-0.1860826760530472,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21308,170524_1030_101/,G0017600.jpg,2386,1069,2459,1154,13.01466178894043,-2.7328360080718994,-3.4877393245697017,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21309,170524_1030_101/,G0017600.jpg,3665,988,3753,1090,5.380468845367432,3.922891855239868,-0.7582207322120667,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21310,170524_1030_101/,G0017600.jpg,983,1391,1113,1542,47.35309219360352,0.4936553239822388,-4.835596561431885,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21311,170524_1030_101/,G0017600.jpg,2026,961,2092,1038,-24.06649780273437,5.685607433319093,-29.28223991394043,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21312,170524_1030_101/,G0017601.jpg,2746,1578,2875,1728,22.569299697875977,0.5939207077026367,-14.361933708190918,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21313,170524_1030_101/,G0017601.jpg,1945,1082,2011,1159,28.55509757995605,33.001571655273445,-10.432453155517578,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21314,170524_1030_101/,G0017601.jpg,2230,959,2298,1038,16.859966278076172,-9.24872875213623,-3.341792583465576,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21315,170524_1030_101/,G0017601.jpg,2873,1195,2957,1292,17.819000244140625,4.514109611511231,-6.45889949798584,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21316,170524_1030_101/,G0017601.jpg,1323,1003,1411,1105,23.66033363342285,-18.478984832763672,8.116569519042969,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21317,170524_1030_101/,G0017601.jpg,1725,884,1789,959,0.2354283183813095,-3.0786752700805664,-0.9335729479789734,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21318,170524_1030_101/,G0017601.jpg,2384,1067,2457,1153,16.811107635498047,-1.4924927949905396,-5.930346488952638,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21319,170524_1030_101/,G0017601.jpg,391,1337,505,1470,28.105504989624023,0.2492789477109909,-11.029048919677734,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21320,170524_1030_101/,G0017601.jpg,2032,970,2094,1041,-36.1555061340332,-2.6433279514312744,-25.143695831298828,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21321,170524_1030_101/,G0017602.jpg,2747,1578,2877,1729,21.998971939086914,0.4823900163173676,-15.463306427001953,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21322,170524_1030_101/,G0017602.jpg,2871,1194,2955,1292,21.934402465820312,5.5202674865722665,-6.666268348693848,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21323,170524_1030_101/,G0017602.jpg,1324,1003,1412,1105,24.161062240600586,-17.75589370727539,7.208333969116211,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21324,170524_1030_101/,G0017602.jpg,995,1415,1121,1561,10.389697074890137,2.712931871414185,-13.769624710083008,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21325,170524_1030_101/,G0017602.jpg,1727,885,1790,958,-3.557613134384156,-3.7660436630249023,-1.5174485445022583,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21326,170524_1030_101/,G0017602.jpg,2385,1067,2458,1153,14.321592330932615,-3.0082974433898926,-5.8345136642456055,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21327,170524_1030_101/,G0017602.jpg,2225,955,2295,1037,23.293460845947266,-6.580590724945068,-6.551568031311035,Likelihood.LIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21328,170524_1030_101/,G0017602.jpg,393,1340,503,1468,30.80045890808105,1.579521417617798,-10.68108367919922,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21329,170524_1030_101/,G0017602.jpg,2282,880,2342,951,13.354372024536133,-8.030646324157715,0.3641889393329621,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21330,170524_1030_101/,G0017603.jpg,2872,1196,2955,1292,16.79511833190918,3.9520952701568617,-3.6996045112609854,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21331,170524_1030_101/,G0017603.jpg,2746,1576,2877,1729,22.81191444396973,1.518735647201538,-15.62949275970459,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21332,170524_1030_101/,G0017603.jpg,2227,959,2298,1041,13.327266693115234,-7.926933288574219,-1.7705861330032349,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
